# Time-averaged data for fix print2
# TimeStep c_CG[1] c_CG[2] c_CG[3] c_LG[1] c_LG[2] c_LG[3]
12800 50 50.0005 0.49947 -1.16382 0 0
12900 50 50.0005 0.499473 -1.16014 0 0
13000 50 50.0005 0.499477 -1.15617 0 0
13100 50 50.0005 0.49948 -1.15192 0 0
13200 50 50.0005 0.499484 -1.14738 0 0
13300 50 50.0005 0.499488 -1.14256 0 0
13400 50 50.0005 0.499491 -1.13747 0 0
13500 50 50.0005 0.499495 -1.13212 0 0
13600 50 50.0005 0.499499 -1.12651 0 0
13700 50 50.0005 0.499504 -1.12064 0 0
13800 50 50.0005 0.499508 -1.11453 0 0
13900 50 50.0005 0.499512 -1.10818 0 0
14000 50 50.0005 0.499517 -1.10159 0 0
14100 50 50.0005 0.499521 -1.09478 0 0
14200 50 50.0005 0.499526 -1.08774 0 0
14300 50 50.0005 0.499531 -1.08049 0 0
14400 50 50.0005 0.499536 -1.07303 0 0
14500 50 50.0005 0.499541 -1.06538 0 0
14600 50 50.0005 0.499546 -1.05753 0 0
14700 50 50.0005 0.499551 -1.04949 0 0
14800 50 50.0005 0.499557 -1.04127 0 0
14900 50 50.0005 0.499562 -1.03288 0 0
15000 50 50.0005 0.499568 -1.02433 0 0
15100 50 50.0005 0.499573 -1.01562 0 0
15200 50 50.0005 0.499579 -1.00677 0 0
15300 50 50.0005 0.499585 -0.997768 0 0
15400 50 50.0005 0.499591 -0.988634 0 0
15500 50 50.0005 0.499597 -0.979375 0 0
15600 50 50.0006 0.499603 -0.969996 0 0
15700 50 50.0006 0.499609 -0.960507 0 0
15800 50 50.0006 0.499616 -0.950914 0 0
15900 50 50.0006 0.499622 -0.941226 0 0
16000 50 50.0006 0.499628 -0.93145 0 0
16100 50 50.0006 0.499635 -0.921593 0 0
16200 50 50.0006 0.499642 -0.911664 0 0
16300 50 50.0006 0.499648 -0.901671 0 0
16400 50 50.0006 0.499655 -0.89162 0 0
16500 50 50.0006 0.499662 -0.881521 0 0
16600 50 50.0006 0.499669 -0.871379 0 0
16700 50 50.0006 0.499676 -0.861204 0 0
16800 50 50.0006 0.499683 -0.851002 0 0
16900 50 50.0006 0.49969 -0.840782 0 0
17000 50 50.0006 0.499697 -0.83055 0 0
17100 50 50.0006 0.499704 -0.820314 0 0
17200 50 50.0006 0.499711 -0.810082 0 0
17300 50 50.0006 0.499719 -0.799861 0 0
17400 50 50.0006 0.499726 -0.789658 0 0
17500 50 50.0006 0.499734 -0.779481 0 0
17600 50 50.0006 0.499741 -0.769336 0 0
17700 50 50.0006 0.499749 -0.759231 0 0
17800 50 50.0006 0.499756 -0.749173 0 0
17900 50 50.0006 0.499764 -0.739168 0 0
18000 50 50.0006 0.499771 -0.729223 0 0
18100 50 50.0006 0.499779 -0.719345 0 0
