# Time-averaged data for fix print1
# TimeStep f_IKE[0] c_eKin c_rot_e c_epotN c_epotT c_edisN c_edisTV c_edisTF c_workT c_edisH
7500 0 14.1972 3.89938 31.8413 2.13496 9.18899 1.23888 0 2.13553 0
7600 0 13.5422 4.01879 32.3708 2.09863 9.22802 1.24226 0 2.0992 0
7700 0 12.9052 4.13784 32.8871 2.05989 9.26453 1.24618 0 2.06047 0
7800 0 12.2865 4.25639 33.3896 2.01887 9.29859 1.25066 0 2.01945 0
7900 0 11.6868 4.37425 33.878 1.97569 9.33027 1.25572 0 1.97627 0
8000 0 11.1062 4.49128 34.3516 1.9305 9.35966 1.2614 0 1.93108 0
8100 0 10.5453 4.60729 34.8101 1.88343 9.38682 1.2677 0 1.88401 0
8200 0 10.0044 4.72215 35.2529 1.83461 9.41184 1.27466 0 1.8352 0
8300 0 9.48388 4.83567 35.6798 1.7842 9.4348 1.28228 0 1.78479 0
8400 0 8.98398 4.94771 36.0902 1.73235 9.45578 1.29058 0 1.73294 0
8500 0 8.50504 5.05811 36.4839 1.67919 9.47486 1.29957 0 1.67979 0
8600 0 8.04734 5.16671 36.8603 1.62489 9.49213 1.30926 0 1.62549 0
8700 0 7.61113 5.27336 37.2192 1.56958 9.50768 1.31965 0 1.57019 0
8800 0 7.19665 5.37792 37.5603 1.51344 9.52158 1.33075 0 1.51405 0
8900 0 6.8041 5.48023 37.8832 1.4566 9.53394 1.34255 0 1.45722 0
9000 0 6.43369 5.58017 38.1876 1.39922 9.54483 1.35506 0 1.39985 0
9100 0 6.08558 5.67759 38.4734 1.34145 9.55435 1.36828 0 1.34208 0
9200 0 5.75991 5.77235 38.7401 1.28345 9.56259 1.38219 0 1.28409 0
9300 0 5.45681 5.86434 38.9877 1.22536 9.56964 1.39679 0 1.226 0
9400 0 5.17639 5.95343 39.2158 1.16732 9.57559 1.41207 0 1.16797 0
9500 0 4.91873 6.0395 39.4243 1.10949 9.58054 1.42801 0 1.11015 0
9600 0 4.68389 6.12243 39.6131 1.05201 9.58457 1.4446 0 1.05267 0
9700 0 4.4719 6.20212 39.782 0.995007 9.58778 1.46183 0 0.995681 0
9800 0 4.28279 6.27848 39.9308 0.938627 9.59027 1.47967 0 0.939309 0
9900 0 4.11655 6.35139 40.0594 0.883001 9.59212 1.49811 0 0.883691 0
10000 0 3.97315 6.42078 40.1679 0.828254 9.59344 1.51712 0 0.828953 0
10100 0 3.85256 6.48656 40.256 0.774512 9.5943 1.53668 0 0.77522 0
10200 0 3.7547 6.54865 40.3238 0.721893 9.59482 1.55677 0 0.722611 0
10300 0 3.67948 6.60698 40.3712 0.670511 9.59507 1.57735 0 0.671238 0
10400 0 3.62681 6.66149 40.3983 0.620475 9.59516 1.5984 0 0.621212 0
10500 0 3.59655 6.71212 40.405 0.571889 9.59517 1.6199 0 0.572635 0
10600 0 3.58856 6.75882 40.3914 0.524849 9.59519 1.6418 0 0.525606 0
10700 0 3.60267 6.80154 40.3576 0.479449 9.59532 1.66408 0 0.480216 0
10800 0 3.63869 6.84025 40.3035 0.435774 9.59565 1.68671 0 0.436551 0
10900 0 3.69642 6.87491 40.2295 0.393904 9.59626 1.70966 0 0.394691 0
11000 0 3.77564 6.90551 40.1354 0.353912 9.59725 1.73288 0 0.35471 0
11100 0 3.8761 6.93202 40.0216 0.315866 9.5987 1.75635 0 0.316675 0
11200 0 3.99755 6.95443 39.8881 0.279826 9.60069 1.78004 0 0.280646 0
11300 0 4.1397 6.97275 39.7351 0.245846 9.60332 1.8039 0 0.246677 0
11400 0 4.30226 6.98697 39.5629 0.213975 9.60667 1.8279 0 0.214817 0
11500 0 4.48492 6.9971 39.3715 0.184252 9.61082 1.852 0 0.185105 0
11600 0 4.68735 7.00316 39.1614 0.156712 9.61585 1.87618 0 0.157577 0
11700 0 4.90921 7.00517 38.9326 0.131383 9.62184 1.90039 0 0.132258 0
11800 0 5.15013 7.00316 38.6856 0.108284 9.62887 1.92461 0 0.109171 0
11900 0 5.40973 6.99717 38.4205 0.0874316 9.63702 1.94879 0 0.0883295 0
12000 0 5.68763 6.98723 38.1377 0.0688321 9.64635 1.9729 0 0.0697411 0
12100 0 5.98342 6.97339 37.8375 0.0524871 9.65696 1.9969 0 0.0534072 0
12200 0 6.29668 6.9557 37.5202 0.0383915 9.6689 2.02077 0 0.0393226 0
12300 0 6.62698 6.93423 37.1862 0.0265339 9.68225 2.04447 0 0.0274759 0
12400 0 6.97386 6.90902 36.8358 0.0168969 9.69707 2.06797 0 0.0178498 0
12500 0 7.33687 6.88016 36.4695 0.00945714 9.71344 2.09123 0 0.0104207 0
12600 0 7.71553 6.84771 36.0876 0.00418524 9.7314 2.11423 0 0.0051594 0
12700 0 8.10936 6.81176 35.6905 0.00104632 9.75104 2.13694 0 0.00203095 0
12800 0 8.51787 6.77238 35.2787 5.29728e-08 9.7724 2.15933 0 0.000994994 0
12900 0 8.94054 6.72966 34.8526 0.00100081 9.79554 2.18136 0 0.00200591 0
13000 0 9.37686 6.68369 34.4126 0.00399794 9.82052 2.20303 0 0.00501302 0
13100 0 9.82631 6.63456 33.9592 0.00893596 9.84739 2.22429 0 0.00996084 0
13200 0 10.2883 6.58238 33.4929 0.0157548 9.8762 2.24513 0 0.0167893 0
13300 0 10.7624 6.52724 33.0141 0.0243901 9.907 2.26553 0 0.025434 0
13400 0 11.248 6.46925 32.5234 0.0347733 9.93984 2.28546 0 0.0358264 0
13500 0 11.7444 6.40851 32.0212 0.0468321 9.97476 2.3049 0 0.0478941 0
13600 0 12.2513 6.34514 31.5082 0.0604906 10.0118 2.32384 0 0.0615613 0
13700 0 12.7679 6.27924 30.9846 0.0756695 10.051 2.34226 0 0.0767487 0
13800 0 13.2937 6.21093 30.4512 0.0922867 10.0924 2.36015 0 0.0933742 0
13900 0 13.8281 6.14033 29.9085 0.110257 10.136 2.37748 0 0.111353 0
14000 0 14.3706 6.06755 29.357 0.129494 10.1819 2.39426 0 0.130597 0
14100 0 14.9204 5.99271 28.7972 0.149907 10.23 2.41046 0 0.151017 0
14200 0 15.4771 5.91593 28.2297 0.171404 10.2805 2.42609 0 0.172522 0
14300 0 16.04 5.83733 27.6551 0.193894 10.3333 2.44113 0 0.195019 0
14400 0 16.6085 5.75703 27.0739 0.217282 10.3885 2.45558 0 0.218413 0
14500 0 17.182 5.67515 26.4867 0.241471 10.446 2.46943 0 0.242609 0
14600 0 17.7599 5.59181 25.8941 0.266368 10.5059 2.48268 0 0.267511 0
14700 0 18.3416 5.50714 25.2966 0.291874 10.5682 2.49533 0 0.293023 0
14800 0 18.9264 5.42125 24.6949 0.317893 10.633 2.50739 0 0.319048 0
14900 0 19.5137 5.33426 24.0895 0.344329 10.7001 2.51885 0 0.34549 0
15000 0 20.103 5.2463 23.481 0.371086 10.7697 2.52971 0 0.372252 0
15100 0 20.6936 5.15748 22.87 0.398069 10.8417 2.53999 0 0.39924 0
15200 0 21.2849 5.06791 22.257 0.425183 10.9161 2.54968 0 0.426358 0
15300 0 21.8763 4.97771 21.6427 0.452335 10.9929 2.5588 0 0.453514 0
15400 0 22.4672 4.887 21.0276 0.479433 11.0721 2.56735 0 0.480616 0
15500 0 23.057 4.79589 20.4124 0.506387 11.1538 2.57535 0 0.507574 0
15600 0 23.6451 4.70448 19.7975 0.533109 11.2378 2.58281 0 0.5343 0
15700 0 24.2309 4.61288 19.1836 0.559514 11.3242 2.58974 0 0.560707 0
15800 0 24.8138 4.5212 18.5712 0.585516 11.413 2.59615 0 0.586712 0
15900 0 25.3932 4.42954 17.9609 0.611036 11.5041 2.60205 0 0.612235 0
16000 0 25.9685 4.338 17.3533 0.635994 11.5975 2.60747 0 0.637196 0
16100 0 26.5392 4.24668 16.7489 0.660316 11.6933 2.61243 0 0.66152 0
16200 0 27.1048 4.15567 16.1482 0.683929 11.7913 2.61693 0 0.685135 0
16300 0 27.6645 4.06506 15.5519 0.706764 11.8915 2.621 0 0.707972 0
16400 0 28.218 3.97494 14.9605 0.728756 11.994 2.62466 0 0.729965 0
16500 0 28.7646 3.8854 14.3744 0.749842 12.0987 2.62792 0 0.751052 0
16600 0 29.3038 3.79652 13.7943 0.769963 12.2054 2.63081 0 0.771175 0
16700 0 29.8352 3.70837 13.2205 0.789066 12.3143 2.63335 0 0.790279 0
16800 0 30.3581 3.62103 12.6537 0.807099 12.4253 2.63557 0 0.808313 0
16900 0 30.8721 3.53458 12.0944 0.824016 12.5383 2.63747 0 0.825231 0
17000 0 31.3767 3.44907 11.5429 0.839773 12.6533 2.63909 0 0.840989 0
17100 0 31.8714 3.36459 10.9999 0.854332 12.7702 2.64045 0 0.855549 0
17200 0 32.3557 3.28117 10.4657 0.867659 12.889 2.64157 0 0.868876 0
17300 0 32.8292 3.1989 9.94089 0.879722 13.0097 2.64248 0 0.88094 0
17400 0 33.2914 3.11781 9.42582 0.890496 13.1321 2.64319 0 0.891714 0
17500 0 33.742 3.03796 8.92095 0.899959 13.2563 2.64373 0 0.901177 0
17600 0 34.1804 2.9594 8.42671 0.908093 13.3822 2.64413 0 0.909311 0
17700 0 34.6063 2.88217 7.94351 0.914884 13.5096 2.64441 0 0.916102 0
17800 0 35.0192 2.8063 7.47173 0.920322 13.6387 2.64458 0 0.921541 0
17900 0 35.4189 2.73185 7.01178 0.924403 13.7693 2.64468 0 0.925622 0
