# Time-averaged data for fix print1
# TimeStep f_IKE[0] c_eKin c_rot_e c_epotN c_epotT c_edisN c_edisTV c_edisTF c_workT c_edisH
35500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
35600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
35700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
35800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
35900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
36000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
36100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
36200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
36300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
36400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
36500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
36600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
36700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
36800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
36900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
37000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
37100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
37200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
37300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
37400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
37500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
37600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
37700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
37800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
37900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
38000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
38100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
38200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
38300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
38400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
38500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
38600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
38700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
38800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
38900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
39000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
39100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
39200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
39300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
39400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
39500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
39600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
39700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
39800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
39900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
40000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
40100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
40200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
40300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
40400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
40500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
40600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
40700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
40800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
40900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
41000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
41100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
41200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
41300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
41400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
41500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
41600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
41700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
41800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
41900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
42000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
42100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
42200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
42300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
42400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
42500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
42600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
42700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
42800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
42900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
43000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
43100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
43200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
43300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
43400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
43500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
43600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
43700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
43800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
43900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
44000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
44100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
44200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
44300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
44400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
44500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
44600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
44700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
44800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
44900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
45000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
45100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
45200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
45300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
45400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
45500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
45600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
45700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
45800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
45900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
46000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
46100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
46200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
46300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
46400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
46500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
46600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
46700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
46800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
46900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
47000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
47100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
47200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
47300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
47400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
47500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
47600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
47700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
47800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
47900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
48000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
48100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
48200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
48300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
48400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
48500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
48600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
48700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
48800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
48900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
49000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
49100 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
49200 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
49300 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
49400 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
49500 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
49600 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
49700 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
49800 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
49900 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
50000 0 39.3494 1.69905 0 0 0 0 0 0 21.4531
